id,time,pop,popPred,indivPredMean,indivPredMode
18,73.4142,0.3587,0.3587,0.869823,
18,73.9378,0.380525,0.380525,0.879938,
18,73.9768,0.382168,0.382168,0.880662,
18,74.5393,0.406199,0.406199,0.890713,
18,74.5577,0.406996,0.406996,0.89103,
18,75.1018,0.430688,0.430688,0.900014,
18,75.1829,0.434246,0.434246,0.901294,
18,75.6644,0.455521,0.455521,0.908604,
18,75.8132,0.462133,0.462133,0.910763,
18,76.1567,0.47744,0.47744,0.91557,
18,76.2269,0.480577,0.480577,0.916524,
18,76.4489,0.490496,0.490496,0.919474,
18,76.7895,0.505731,0.505731,0.923816,
18,77.0898,0.519158,0.519158,0.927466,
18,77.352,0.530856,0.530856,0.930519,
18,77.7362,0.547932,0.547932,0.934778,
18,77.9146,0.555825,0.555825,0.936673,
18,78.388,0.576626,0.576626,0.941453,
18,78.4771,0.580516,0.580516,0.942315,
18,79.0397,0.60481,0.60481,0.947483,
18,79.0452,0.605046,0.605046,0.947532,
18,79.6022,0.628597,0.628597,0.952211,
18,79.7079,0.633003,0.633003,0.953054,
18,80.071,0.64796,0.64796,0.95584,
18,80.1648,0.651777,0.651777,0.956534,
18,80.3762,0.660315,0.660315,0.95806,
18,80.7273,0.67426,0.67426,0.960481,
18,81.0501,0.686817,0.686817,0.962589,
18,81.2898,0.695968,0.695968,0.964084,
18,81.7297,0.712359,0.712359,0.966678,
18,81.8524,0.716837,0.716837,0.967369,
18,82.4149,0.736816,0.736816,0.970363,
19,60.4018,0.0516952,0.0516952,0.0204863,
19,60.8797,0.0560518,0.0560518,0.0223954,
19,60.9853,0.0570596,0.0570596,0.0228399,
19,61.3614,0.0607907,0.0607907,0.0244951,
19,61.5688,0.0629436,0.0629436,0.0254569,
19,61.847,0.0659442,0.0659442,0.0268053,
19,62.1523,0.0693897,0.0693897,0.0283649,
19,62.3363,0.071547,0.071547,0.0293476,
19,62.7358,0.0764422,0.0764422,0.0315945,
19,62.8296,0.0776359,0.0776359,0.032146,
19,62.833,0.0776797,0.0776797,0.0321662,
19,63.3192,0.0841466,0.0841466,0.0351784,
19,63.3267,0.0842499,0.0842499,0.0352268,
19,63.8278,0.0914299,0.0914299,0.0386189,
19,63.9027,0.0925497,0.0925497,0.0391524,
19,64.3328,0.099219,0.099219,0.0423539,
19,64.4862,0.101699,0.101699,0.043555,
19,64.8419,0.107662,0.107662,0.0464665,
19,65.0697,0.111641,0.111641,0.0484278,
19,65.3549,0.116804,0.116804,0.0509942,
19,65.6532,0.122423,0.122423,0.0538151,
19,65.8721,0.126693,0.126693,0.0559782,
19,66.2367,0.134089,0.134089,0.059764,
19,66.3933,0.137376,0.137376,0.0614626,
19,66.8202,0.14668,0.14668,0.0663245,
19,66.9186,0.148899,0.148899,0.0674954,
19,67.4037,0.160236,0.160236,0.0735488,
19,67.4481,0.161309,0.161309,0.074128,
19,67.9818,0.17465,0.17465,0.0814152,
19,67.9871,0.174787,0.174787,0.0814912,
19,68.5197,0.188961,0.188961,0.089415,
19,68.5706,0.190361,0.190361,0.0902079,
19,69.0619,0.204278,0.204278,0.0981888,
19,69.1541,0.206974,0.206974,0.0997557,
19,69.6083,0.220631,0.220631,0.1078,
19,69.7376,0.224634,0.224634,0.110192,
19,70.1591,0.238042,0.238042,0.118315,
19,70.3211,0.243339,0.243339,0.121572,
19,70.7143,0.256525,0.256525,0.1298,
19,70.9046,0.263073,0.263073,0.133951,
19,71.2738,0.276079,0.276079,0.142322,
19,71.4881,0.283807,0.283807,0.147378,
19,71.8377,0.296695,0.296695,0.155947,
19,72.0716,0.305498,0.305498,0.1619,
19,72.4062,0.318347,0.318347,0.170737,
19,72.655,0.328088,0.328088,0.177555,
19,72.9791,0.340994,0.340994,0.18675,
19,73.2385,0.351502,0.351502,0.194373,
19,73.2434,0.3517,0.3517,0.194518,
19,73.5565,0.364579,0.364579,0.204035,
19,73.7076,0.370863,0.370863,0.208749,
19,73.822,0.375653,0.375653,0.212372,
19,74.1386,0.389027,0.389027,0.222634,
19,74.4055,0.400439,0.400439,0.231559,
19,74.7252,0.414246,0.414246,0.242572,
19,74.989,0.425745,0.425745,0.251925,
19,75.3164,0.440127,0.440127,0.263862,
19,75.5725,0.451446,0.451446,0.273445,
19,75.9124,0.466547,0.466547,0.286497,
19,76.156,0.477408,0.477408,0.296075,
19,76.5131,0.493366,0.493366,0.310447,
19,76.7395,0.503493,0.503493,0.319755,
19,77.0701,0.518276,0.518276,0.333608,
19,77.1185,0.520436,0.520436,0.335659,
19,77.323,0.52956,0.52956,0.344401,
19,77.7287,0.547598,0.547598,0.362056,
19,77.9064,0.555466,0.555466,0.369914,
19,78.3437,0.574692,0.574692,0.389531,
19,78.4899,0.581074,0.581074,0.396175,
19,78.9636,0.601552,0.601552,0.417951,
